Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,031052,1965,10,02,18.9,1,Y
IDCJAC0011,031052,1965,10,03,15.6,1,Y
IDCJAC0011,031052,1965,10,04,18.9,1,Y
IDCJAC0011,031052,1965,10,05,18.9,1,Y
IDCJAC0011,031052,1965,10,06,18.9,1,Y
IDCJAC0011,031052,1965,10,07,20.6,1,Y
IDCJAC0011,031052,1965,10,08,22.2,1,Y
IDCJAC0011,031052,1965,10,09,20.6,1,Y
IDCJAC0011,031052,1965,10,10,20.0,1,Y
IDCJAC0011,031052,1965,10,11,20.6,1,Y
IDCJAC0011,031052,1965,10,12,20.1,1,Y
IDCJAC0011,031052,1965,10,13,20.0,1,Y
IDCJAC0011,031052,1965,10,14,19.4,1,Y
IDCJAC0011,031052,1965,10,15,21.1,1,Y
IDCJAC0011,031052,1965,10,16,19.4,1,Y
IDCJAC0011,031052,1965,10,17,18.9,1,Y
IDCJAC0011,031052,1965,10,18,20.0,1,Y
IDCJAC0011,031052,1965,10,19,20.0,1,Y
IDCJAC0011,031052,1965,10,20,20.6,1,Y
IDCJAC0011,031052,1965,10,21,22.2,1,Y
IDCJAC0011,031052,1965,10,22,22.2,1,Y
IDCJAC0011,031052,1965,10,23,22.2,1,Y
IDCJAC0011,031052,1965,10,24,22.8,1,Y
IDCJAC0011,031052,1965,10,25,22.2,1,Y
IDCJAC0011,031052,1965,10,26,18.9,1,Y
IDCJAC0011,031052,1965,10,27,21.7,1,Y
IDCJAC0011,031052,1965,10,28,20.6,1,Y
IDCJAC0011,031052,1965,10,29,23.3,1,Y
IDCJAC0011,031052,1965,10,30,22.2,1,Y
IDCJAC0011,031052,1965,10,31,20.0,1,Y
IDCJAC0011,031052,1965,11,01,,,
IDCJAC0011,031052,1965,11,02,,,
IDCJAC0011,031052,1965,11,03,,,
IDCJAC0011,031052,1965,11,04,,,
IDCJAC0011,031052,1965,11,05,,,
IDCJAC0011,031052,1965,11,06,,,
IDCJAC0011,031052,1965,11,07,,,
IDCJAC0011,031052,1965,11,08,,,
IDCJAC0011,031052,1965,11,09,,,
IDCJAC0011,031052,1965,11,10,,,
IDCJAC0011,031052,1965,11,11,,,
IDCJAC0011,031052,1965,11,12,,,
IDCJAC0011,031052,1965,11,13,,,
IDCJAC0011,031052,1965,11,14,,,
IDCJAC0011,031052,1965,11,15,,,
IDCJAC0011,031052,1965,11,16,,,
IDCJAC0011,031052,1965,11,17,,,
IDCJAC0011,031052,1965,11,18,,,
IDCJAC0011,031052,1965,11,19,,,
IDCJAC0011,031052,1965,11,20,,,
IDCJAC0011,031052,1965,11,21,,,
IDCJAC0011,031052,1965,11,22,,,
IDCJAC0011,031052,1965,11,23,,,
IDCJAC0011,031052,1965,11,24,,,
IDCJAC0011,031052,1965,11,25,,,
IDCJAC0011,031052,1965,11,26,,,
IDCJAC0011,031052,1965,11,27,,,
IDCJAC0011,031052,1965,11,28,,,
IDCJAC0011,031052,1965,11,29,,,
IDCJAC0011,031052,1965,11,30,,,
IDCJAC0011,031052,1965,12,01,,,
